R 	china_future 	connected!
S 	china_future 	login: brokerID:7030 userID:98507 password:123456 seq:0
R 	china_future 	login success
S 	china_future 	query settlement: brokerID:7030 userID:98507 seq:1
R 	china_future 	query settlement: finish
S 	china_future 	confirm: brokerID:7030 userID:98507 seq:2
R 	china_future 	confirm: finish
S 	china_future 	query all futures, seq:3
R 	china_future 	instrument:a1411
R 	china_future 	instrument:SR411
R 	china_future 	instrument:fu1410
R 	china_future 	instrument:a1503
R 	china_future 	instrument:bu1503
R 	china_future 	instrument:bu1506
R 	china_future 	instrument:bu1509
R 	china_future 	instrument:ag1410
R 	china_future 	instrument:wr1411
R 	china_future 	instrument:zn1411
R 	china_future 	instrument:b1411
R 	china_future 	instrument:c1411
R 	china_future 	instrument:OI411
R 	china_future 	instrument:PM411
R 	china_future 	instrument:RS411
R 	china_future 	instrument:TA411
R 	china_future 	instrument:WH411
R 	china_future 	instrument:TC411
R 	china_future 	instrument:SR505
R 	china_future 	instrument:jd1410
R 	china_future 	instrument:a1501
R 	china_future 	instrument:SR501
R 	china_future 	instrument:bu1412
R 	china_future 	instrument:al1410
R 	china_future 	instrument:TC410
R 	china_future 	instrument:FG410
R 	china_future 	instrument:ME410
R 	china_future 	instrument:jm1410
R 	china_future 	instrument:l1410
R 	china_future 	instrument:p1410
R 	china_future 	instrument:v1410
R 	china_future 	instrument:pb1411
R 	china_future 	instrument:rb1411
R 	china_future 	instrument:ru1411
R 	china_future 	instrument:a1505
R 	china_future 	instrument:i1411
R 	china_future 	instrument:j1411
R 	china_future 	instrument:jm1411
R 	china_future 	instrument:l1411
R 	china_future 	instrument:m1411
R 	china_future 	instrument:p1411
R 	china_future 	instrument:cu1410
R 	china_future 	instrument:pb1410
R 	china_future 	instrument:au1410
R 	china_future 	instrument:TA410
R 	china_future 	instrument:v1411
R 	china_future 	instrument:y1411
R 	china_future 	instrument:CF411
R 	china_future 	instrument:FG411
R 	china_future 	instrument:JR411
R 	china_future 	instrument:au1412
R 	china_future 	instrument:cu1412
R 	china_future 	instrument:pb1412
